[gateServer][2020-08-21 15:25:58][0001---------server start-----------
[gateServer][2020-08-21 15:25:58][0001conncetion mysql fail!
[gateServer][2020-08-21 15:25:59][0001connect gate fail ! 
[gateServer][2020-08-21 15:25:59][0001connect game fail ! 
[gateServer][2020-08-21 15:26:00][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:00][0001connect game fail ! 
[gateServer][2020-08-21 15:26:01][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:01][0001connect game fail ! 
[gateServer][2020-08-21 15:26:02][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:02][0001connect game fail ! 
[gateServer][2020-08-21 15:26:03][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:03][0001connect game fail ! 
[gateServer][2020-08-21 15:26:04][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:04][0001connect game fail ! 
[gateServer][2020-08-21 15:26:05][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:05][0001connect game fail ! 
[gateServer][2020-08-21 15:26:06][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:06][0001connect game fail ! 
[gateServer][2020-08-21 15:26:07][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:07][0001connect game fail ! 
[gateServer][2020-08-21 15:26:08][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:08][0001connect game fail ! 
[gateServer][2020-08-21 15:26:09][0001connect gate fail ! 
[gateServer][2020-08-21 15:26:09][0001connect game fail ! 
